Company,Industry Segment,eBPF Network Functions Used,eBPF Tool / Project,How They Use eBPF,Use Case 1: Security (Conformance Check),Use Case 2: Debugging (NF Behavior Understanding),Use Case 3: Performance,Fit Score (1-5),Target Priority,Notes / Evidence
Cloudflare,CDN / DDoS Protection,"XDP packet filter, load balancer, rate limiter, DDoS mitigator","XDP programs, xdpcap, custom eBPF","Drops malicious packets at NIC driver level (XDP) before reaching Linux stack; processes terabits/sec of traffic","YES — Must verify XDP drop rules correctly encode rulesets; even a small gap = traffic bypass","YES — Built custom xdpcap because standard tools fail with XDP; behavioral querying would replace manual bytecode analysis","YES — Operates at line-rate; NF efficiency is critical; any complexity/overhead = performance degradation",5,Tier 1 — Primary,"Multiple public blog posts on XDP/eBPF. Custom debugging tooling (xdpcap) exists specifically because of NF opacity problem."
Meta (Facebook),Hyperscaler / Social Media,"L4 load balancer (Katran), security policy enforcer (BpfJailer)","Katran (XDP), BpfJailer, Strobelight","Katran processes ALL ingress traffic across Meta data centers; BpfJailer enforces security isolation; Strobelight profiles CPU","YES — BpfJailer conformance is a security-critical requirement; verifying policy NFs protect workloads correctly","YES — At data center scale, understanding NF behavior across billions of daily flows requires systematic tooling","YES — Katran saves significant CPU vs. traditional LB; NF performance analysis is part of their cost optimization",5,Tier 1 — Primary,"Open-source Katran available on GitHub. Katran paper published at Facebook Engineering. BpfJailer used in production."
Isovalent / Cilium (Cisco),Cloud-Native Networking & Security,"CNI network policy, L7 policy enforcement, runtime security, flow observability","Cilium (CNI), Tetragon, Hubble","Cilium replaces iptables/kube-proxy in Kubernetes; Tetragon enforces kernel-level security policies; Hubble provides flow observability","YES — Tetragon TracingPolicy conformance: verifying that security enforcement NFs correctly block prohibited actions","YES — Hubble shows flows but not NF behavioral logic; Yaksha Prashna adds querying of the enforcement logic itself","YES — Cilium's design is optimized for performance; verifying NF behavior helps optimize policy rule chains",5,Tier 1 — Primary,"Used as default CNI on AWS EKS. Tetragon open-sourced. Part of CNCF. Acquired by Cisco 2023."
Rakuten Mobile / Rakuten Symphony,Telecommunications / 5G,"5G protocol observability, DDoS mitigation, traffic mirroring, energy monitoring, security tracing","Sauron eBPF platform (custom), XDP hooks, LSM hooks","5G-native eBPF platform (Sauron) instruments kernel for NGAP/NAS protocol parsing, real-time anomaly detection, and DDoS mitigation","YES — 5G NFs must conform to 3GPP specs; verifying eBPF implementations of NFs against standards is a regulatory requirement","YES — Complex 5G call flows (attach, handover, PDU session) require NF behavior analysis to debug failures","YES — 5G requires ultra-low latency; NF efficiency directly impacts subscriber experience",5,Tier 1 — Primary,"Published eBPF for Modern Telco Infrastructure whitepaper. Sauron presented at eBPF Summit. Operates world's first fully virtualised 4G/5G network."
ByteDance (TikTok),Hyperscaler / Social Media,"Container networking, traffic routing, policy enforcement","Netkit eBPF device, Cilium","Replaced traditional networking stack with eBPF-based Netkit across ~1 million servers; drives 10% throughput improvement","YES — Security policy enforcement across 1M servers requires automated conformance verification","YES — Debugging NF behavior at this scale without tooling is intractable","YES — Primary motivation for eBPF adoption was performance; NF optimization is ongoing work",4,Tier 1 — Primary,"Contributed Netkit to Linux kernel. Published at Netdev conference."
Netflix,Streaming / CDN,"TCP flow exporter, scheduler observability, connection tracker","Custom eBPF programs, bpftop (open-sourced)","eBPF-based flow exporter for microservice network visibility; scheduler hooks for noisy-neighbor detection; bpftop for NF performance monitoring","YES — Connection tracking NFs must correctly capture all flows; conformance of filtering/sampling logic matters","YES — Key challenge is understanding why a container is experiencing latency; NF behavior querying maps directly","YES — Open-sourced bpftop specifically to monitor NF performance overhead; keep overhead to <600ns/hook",4,Tier 1 — Primary,"Netflix Tech Blog posts on eBPF. Open-sourced bpftop. Presented at eBPF Summit 2024."
Google (GKE / GCP),Cloud Provider / Hyperscaler,"Kubernetes CNI, VPC networking, security auditing","Cilium (GKE default CNI), Buzzer (eBPF fuzzer), custom internal eBPF","Cilium as default CNI in GKE; eBPF for security auditing and performance monitoring in GCP; Buzzer for eBPF NF fuzzing","YES — GKE network policies enforced via Cilium eBPF NFs; cloud customers need conformance guarantees for compliance","YES — Customer-facing network debugging in GKE/GCP — understanding what Cilium NFs are doing is a key support challenge","YES — GCP scale makes NF efficiency critical; understanding NF behavior assists optimization",4,Tier 1 — Primary,"GKE Dataplane V2 uses Cilium. Buzzer is open-sourced. Android uses eBPF for traffic accounting."
Microsoft,OS / Platform / Cloud,"Windows kernel network filtering, signature verification of eBPF programs","eBPF for Windows, Hornet LSM, PREVAIL verifier","eBPF for Windows brings Linux eBPF ecosystem to Windows; Hornet LSM enforces signed-eBPF-only policy; PREVAIL verifies BPF programs","YES — Hornet LSM specifically targets eBPF conformance/integrity; very direct overlap with Yaksha Prashna's security use case","YES — eBPF for Windows needs debugging/behavioral understanding tools — no equivalent of bpftrace on Windows yet","PARTIAL — Windows eBPF still maturing; performance is a goal but secondary to correctness",4,Tier 2 — Strong,"Hornet LSM RFC proposed 2025. eBPF for Windows is open-source on GitHub under Microsoft."
Datadog,Observability SaaS,"Network connection tracker, syscall monitor, process tracer","Custom eBPF agents, NPM (Network Performance Monitoring)","Uses eBPF to track all TCP/UDP connections in customer infrastructure; replaced polling with eBPF for 35% CPU reduction","YES — Connection tracker NF must correctly capture all connections; gaps = missing security telemetry","YES — Their customers debug network problems via Datadog; Yaksha Prashna could power 'why is this NF behaving this way' as a product feature","YES — 35% CPU reduction is a documented result; performance of tracking NFs is core to product viability",4,Tier 2 — Strong,"Datadog NPM engineering blog. eBPF.io user story. Connected monitoring. SaaS platform — could embed Yaksha Prashna as feature."
Aqua Security,Cloud-Native Security,"Runtime security monitor, syscall filter, network policy enforcer","Aqua's eBPF-based runtime agent","eBPF agent monitors container workloads for security violations: unauthorized network connections executions file access","YES — Security enforcement NF conformance: if the policy says block X but the NF doesn't block X it is a vulnerability","YES — Security teams need to understand which rules are encoded in the NF and under what conditions they trigger","PARTIAL — Performance not primary concern; correctness is",4,Tier 2 — Strong,"Aqua Security blog on eBPF. Competitor to Sysdig and Falco in cloud-native runtime security space."
Sysdig / Falco (CNCF),Cloud-Native Security,"Syscall tracing, network activity monitor, container escape detector","Falco eBPF driver, Sysdig agent","Falco uses eBPF to capture kernel syscall and network events for real-time threat detection in Kubernetes environments","YES — Falco rules must be correctly encoded in the eBPF driver; conformance ensures no security event is missed","YES — Debugging false positives or missed detections requires understanding what the eBPF tracing NF actually captures","PARTIAL — Performance relevant (Falco overhead matters) but secondary",4,Tier 2 — Strong,"Falco is CNCF project used by major enterprises. Sysdig acquired Falco. eBPF driver is the default capture mechanism."
AWS (Amazon),Cloud Provider,"EKS Kubernetes networking, VPC networking","Cilium (EKS default CNI), custom VPC eBPF programs","AWS adopted Cilium as the default CNI for EKS; eBPF-based programs handle VPC routing rules and security group enforcement","YES — Security group enforcement via eBPF NFs must exactly match AWS VPC security semantics; conformance = cloud security","YES — Customers regularly file AWS support tickets about unexpected network behavior in EKS; behavioral analysis tooling would help","YES — VPC scale demands efficient NF execution",3,Tier 2 — Strong,"AWS EKS Cilium announcement 2023. Cilium is default for EKS Anywhere."
Shopify,E-Commerce,Network policy enforcement; traffic observability under peak loads (e.g. Black Friday),"Cilium, custom eBPF observability","Uses eBPF for zero-downtime network observability and policy enforcement during massive traffic spikes","YES — PCI-DSS compliance requires network policy conformance; eBPF NF verification is a compliance audit tool","YES — Debugging network failures during Black Friday sales peaks is critical and time-sensitive","YES — Performance under peak load is existential; understanding NF behavior helps capacity planning",3,Tier 2 — Strong,"Shopify Engineering blog on infrastructure. PCI-DSS compliance applies to all payment processors."
DoorDash,Food Delivery / Logistics,"Kubernetes cluster monitoring agent","BPFAgent (custom)","Replaced traditional monitoring agent with eBPF-based BPFAgent; achieved 40% less memory, 98% fewer OOMKills, 80% faster deployments","PARTIAL — BPFAgent monitors but conformance of monitoring NF less of a security concern","YES — Understanding why BPFAgent behaves differently across clusters is exactly the debugging use case","YES — Primary driver was resource performance of the monitoring NF itself",3,Tier 2 — Strong,"DoorDash engineering blog post on BPFAgent. Kubernetes-native deployment."
Bell Canada,Telecommunications / 5G,"5G core network functions; network slicing enforcement","Custom 5G NF eBPF programs, Cilium","Deploying cloud-native 5G core using eBPF-based NFs for network slicing, QoS enforcement, and security tracing","YES — Regulatory and 3GPP standards require NF conformance; verification is a compliance requirement","YES — 5G network slice debugging requires understanding NF behavior to trace policy violations","YES — 5G latency requirements demand efficient NF implementations",3,Tier 2 — Strong,"Bell Canada eBPF.foundation user story. Telecom cloud-native transformation program."
New Relic,Observability SaaS,"Application performance monitoring APM; network tracing","Custom eBPF agents","Uses eBPF to provide zero-instrumentation APM — traces application and network behavior without code changes","PARTIAL — Conformance of monitoring NF less critical but data accuracy matters","YES — Customers use New Relic to debug application and network anomalies; behavioral query of NFs would add depth","YES — Agent overhead is a commercial sensitivity; NF performance optimization matters",3,Tier 3 — Moderate,"New Relic engineering blog on eBPF. Observability SaaS market."
Alibaba Cloud,Cloud Provider / Hyperscaler,"Container networking, DDoS protection, cloud-native security","Cilium, custom eBPF programs","Alibaba Cloud uses eBPF for cloud-native networking, container isolation, and DDoS mitigation at hyperscale","YES — Security conformance of cloud network isolation NFs is critical for multi-tenant cloud safety","YES — Debugging network isolation failures at cloud scale requires behavioral analysis","YES — Scale requires eBPF efficiency",3,Tier 3 — Moderate,"Alibaba eBPF.io user story. ACK (Alibaba Container Service) uses Cilium."
Capital One,Financial Services / Banking,"Network policy enforcement, compliance monitoring","Cilium, custom eBPF programs","Uses eBPF for cloud-native network policy enforcement and compliance monitoring in regulated workloads","YES — SOX / PCI-DSS compliance requires verifying that network enforcement NFs correctly block unauthorized traffic","YES — Compliance audits require explaining NF behavior to auditors — behavioral querying is directly useful","PARTIAL — Performance secondary to correctness",3,Tier 3 — Moderate,"Capital One eBPF.io user story. Financial services compliance use case is strong."
S&P Global,Financial Services / Data,"Market data network monitoring","Custom eBPF programs","Uses eBPF to monitor market data network flows with ultra-low overhead","YES — Conformance of monitoring NFs to data capture specifications matters for data quality","YES — Debugging data loss or latency spikes in market data pipelines","YES — Ultra-low latency market data requirements make NF performance critical",3,Tier 3 — Moderate,"S&P Global eBPF.io user story."
Apple,Consumer Tech / OS,"macOS / iOS network traffic filtering","Custom XNU eBPF-like programs (Network Extension framework); Linux eBPF on internal servers","Internal infrastructure uses eBPF for server-side observability; macOS Network Extension framework has analogous concepts","YES — Network filtering policy conformance on internal infrastructure","YES — Debugging NF behavior on internal cloud infrastructure","YES — Efficiency on Apple Silicon servers",2,Tier 3 — Moderate,"Apple uses eBPF internally. Less public information available."
Seznam.cz,European Internet / Search,"Web serving network optimization","Custom eBPF programs","Czech internet company using eBPF for network load balancing and packet filtering optimization","PARTIAL","YES — Debugging network function behavior at CDN scale","YES — Performance optimization is primary use case",2,Tier 3 — Moderate,"Seznam listed as eBPF.io user. CEE market."
IKEA (Technology),Retail / E-Commerce,"Kubernetes-based retail infrastructure network","Cilium","IKEA's technology division uses Cilium for Kubernetes networking across retail infrastructure","YES — Network policy conformance in multi-region retail infrastructure","YES — Debugging network policies in large Kubernetes deployments","PARTIAL",2,Tier 3 — Moderate,"IKEA eBPF.io user story."
